compression mode LiteralsLengths - FseCompressed(State,Sym,BL,NB
0x1da,s0,0x24,0
0x1db,s2,0x90,3
0x1dc,s0,0x25,0
0x1dd,s0,0x26,0
0x1de,s5,0x1e0,5
0x1df,s1,0x00,2
0x1e0,s0,0x27,0
0x1e1,s0,0x28,0
0x1e2,s2,0x98,3
0x1e3,s0,0x29,0
0x1e4,s0,0x2a,0
0x1e5,s4,0x90,4
0x1e6,s1,0x04,2
0x1e7,s0,0x2b,0
0x1e8,s10,0x80,7
0x1e9,s1,0x08,2
0x1ea,s0,0x2c,0
0x1eb,s0,0x2d,0
0x1ec,s3,0x00,3
0x1ed,s0,0x2e,0
0x1ee,s0,0x2f,0
0x1ef,s7,0x20,5
0x1f0,s1,0x0c,2
0x1f1,s0,0x30,0
0x1f2,s0,0x31,0
0x1f3,s3,0x08,3
0x1f4,s26,0x00,9
0x1f5,s25,0x00,9
0x1f6,s24,0x00,9
0x1f7,s23,0x00,9
0x1f8,s22,0x00,9
0x1f9,s21,0x00,9
0x1fa,s20,0x00,9
0x1fb,s19,0x00,9
0x1fc,s18,0x00,9
0x1fd,s17,0x00,9
0x1fe,s16,0x00,9
0x1ff,s14,0x00,9
)
compression mode Offset - FseCompressed(State,Sym,BL,NB
0x00,s0,0x00,7
0x01,s7,0x80,6
0x02,s8,0x20,5
0x03,s9,0xc0,5
0x04,s10,0x20,4
0x05,s10,0x30,4
0x06,s11,0xa0,4
0x07,s11,0xb0,4
0x08,s12,0x18,3
0x09,s12,0x20,3
0x0a,s12,0x28,3
0x0b,s13,0x48,3
0x0c,s13,0x50,3
0x0d,s13,0x58,3
0x0e,s13,0x60,3
0x0f,s14,0x78,3
0x10,s14,0x80,3
0x11,s14,0x88,3
0x12,s14,0x90,3
0x13,s15,0x10,3
0x14,s15,0x18,3
0x15,s15,0x20,3
0x16,s16,0xc0,5
0x17,s16,0xe0,5
0x18,s6,0x00,6
0x19,s8,0x40,5
0x1a,s9,0xe0,5
0x1b,s10,0x40,4
0x1c,s10,0x50,4
0x1d,s11,0xc0,4
0x1e,s11,0xd0,4
0x1f,s12,0x30,3
0x20,s12,0x38,3
0x21,s12,0x40,3
0x22,s13,0x68,3
0x23,s13,0x70,3
0x24,s13,0x78,3
0x25,s13,0x80,3
0x26,s14,0x98,3
0x27,s14,0xa0,3
0x28,s14,0xa8,3
0x29,s14,0xb0,3
0x2a,s15,0x28,3
0x2b,s15,0x30,3
0x2c,s15,0x38,3
0x2d,s15,0x40,3
0x2e,s16,0x00,4
0x2f,s5,0x80,7
0x30,s8,0x60,5
0x31,s9,0x00,4
0x32,s9,0x10,4
0x33,s10,0x60,4
0x34,s11,0xe0,4
0x35,s11,0xf0,4
0x36,s11,0x00,3
0x37,s12,0x48,3
0x38,s12,0x50,3
0x39,s12,0x58,3
0x3a,s13,0x88,3
0x3b,s13,0x90,3
0x3c,s13,0x98,3
0x3d,s14,0xb8,3
0x3e,s14,0xc0,3
0x3f,s14,0xc8,3
0x40,s14,0xd0,3
0x41,s14,0xd8,3
0x42,s15,0x48,3
0x43,s15,0x50,3
0x44,s15,0x58,3
0x45,s16,0x10,4
0x46,s4,0x00,8
0x47,s7,0xc0,6
0x48,s8,0x80,5
0x49,s9,0x20,4
0x4a,s10,0x70,4
0x4b,s11,0x08,3
0x4c,s11,0x10,3
0x4d,s11,0x18,3
0x4e,s12,0x60,3
0x4f,s12,0x68,3
0x50,s12,0x70,3
0x51,s13,0xa0,3
0x52,s13,0xa8,3
0x53,s13,0xb0,3
0x54,s13,0xb8,3
0x55,s14,0xe0,3
0x56,s14,0xe8,3
0x57,s14,0xf0,3
0x58,s14,0xf8,3
0x59,s15,0x60,3
0x5a,s15,0x68,3
0x5b,s15,0x70,3
0x5c,s16,0x20,4
0x5d,s16,0x30,4
0x5e,s7,0x00,5
0x5f,s8,0xa0,5
0x60,s9,0x30,4
0x61,s10,0x80,4
0x62,s10,0x90,4
0x63,s11,0x20,3
0x64,s11,0x28,3
0x65,s12,0x78,3
0x66,s12,0x80,3
0x67,s12,0x88,3
0x68,s13,0xc0,3
0x69,s13,0xc8,3
0x6a,s13,0xd0,3
0x6b,s13,0xd8,3
0x6c,s14,0x00,2
0x6d,s14,0x04,2
0x6e,s14,0x08,2
0x6f,s14,0x0c,2
0x70,s15,0x78,3
0x71,s15,0x80,3
0x72,s15,0x88,3
0x73,s16,0x40,4
0x74,s16,0x50,4
0x75,s6,0x40,6
0x76,s8,0xc0,5
0x77,s9,0x40,4
0x78,s10,0xa0,4
0x79,s10,0xb0,4
0x7a,s11,0x30,3
0x7b,s11,0x38,3
0x7c,s12,0x90,3
0x7d,s12,0x98,3
0x7e,s12,0xa0,3
0x7f,s12,0xa8,3
0x80,s13,0xe0,3
0x81,s13,0xe8,3
0x82,s13,0xf0,3
0x83,s14,0x10,2
0x84,s14,0x14,2
0x85,s14,0x18,2
0x86,s14,0x1c,2
0x87,s14,0x20,2
0x88,s15,0x90,3
0x89,s15,0x98,3
0x8a,s15,0xa0,3
0x8b,s16,0x60,4
0x8c,s5,0x00,6
0x8d,s7,0x20,5
0x8e,s9,0x50,4
0x8f,s9,0x60,4
0x90,s10,0xc0,4
0x91,s11,0x40,3
0x92,s11,0x48,3
0x93,s11,0x50,3
0x94,s12,0xb0,3
0x95,s12,0xb8,3
0x96,s12,0xc0,3
0x97,s13,0xf8,3
0x98,s13,0x00,2
0x99,s13,0x04,2
0x9a,s13,0x08,2
0x9b,s14,0x24,2
0x9c,s14,0x28,2
0x9d,s14,0x2c,2
0x9e,s14,0x30,2
0x9f,s15,0xa8,3
0xa0,s15,0xb0,3
0xa1,s15,0xb8,3
0xa2,s16,0x70,4
0xa3,s0,0x80,7
0xa4,s7,0x40,5
0xa5,s8,0xe0,5
0xa6,s9,0x70,4
0xa7,s10,0xd0,4
0xa8,s10,0xe0,4
0xa9,s11,0x58,3
0xaa,s11,0x60,3
0xab,s12,0xc8,3
0xac,s12,0xd0,3
0xad,s12,0xd8,3
0xae,s13,0x0c,2
0xaf,s13,0x10,2
0xb0,s13,0x14,2
0xb1,s13,0x18,2
0xb2,s14,0x34,2
0xb3,s14,0x38,2
0xb4,s14,0x3c,2
0xb5,s14,0x40,2
0xb6,s15,0xc0,3
0xb7,s15,0xc8,3
0xb8,s15,0xd0,3
0xb9,s16,0x80,4
0xba,s16,0x90,4
0xbb,s6,0x80,6
0xbc,s8,0x00,4
0xbd,s9,0x80,4
0xbe,s10,0xf0,4
0xbf,s10,0x00,3
0xc0,s11,0x68,3
0xc1,s11,0x70,3
0xc2,s12,0xe0,3
0xc3,s12,0xe8,3
0xc4,s12,0xf0,3
0xc5,s13,0x1c,2
0xc6,s13,0x20,2
0xc7,s13,0x24,2
0xc8,s13,0x28,2
0xc9,s14,0x44,2
0xca,s14,0x48,2
0xcb,s14,0x4c,2
0xcc,s14,0x50,2
0xcd,s15,0xd8,3
0xce,s15,0xe0,3
0xcf,s15,0xe8,3
0xd0,s15,0xf0,3
0xd1,s16,0xa0,4
0xd2,s6,0xc0,6
0xd3,s8,0x10,4
0xd4,s9,0x90,4
0xd5,s10,0x08,3
0xd6,s10,0x10,3
0xd7,s11,0x78,3
0xd8,s11,0x80,3
0xd9,s12,0xf8,3
0xda,s12,0x00,2
0xdb,s12,0x04,2
0xdc,s12,0x08,2
0xdd,s13,0x2c,2
0xde,s13,0x30,2
0xdf,s13,0x34,2
0xe0,s14,0x54,2
0xe1,s14,0x58,2
0xe2,s14,0x5c,2
0xe3,s14,0x60,2
0xe4,s14,0x64,2
0xe5,s15,0xf8,3
0xe6,s15,0x00,2
0xe7,s15,0x04,2
0xe8,s16,0xb0,4
0xe9,s5,0x40,6
0xea,s7,0x60,5
0xeb,s9,0xa0,4
0xec,s9,0xb0,4
0xed,s10,0x18,3
0xee,s11,0x88,3
0xef,s11,0x90,3
0xf0,s11,0x98,3
0xf1,s12,0x0c,2
0xf2,s12,0x10,2
0xf3,s12,0x14,2
0xf4,s13,0x38,2
0xf5,s13,0x3c,2
0xf6,s13,0x40,2
0xf7,s13,0x44,2
0xf8,s14,0x68,2
0xf9,s14,0x6c,2
0xfa,s14,0x70,2
0xfb,s14,0x74,2
0xfc,s15,0x08,2
0xfd,s15,0x0c,2
0xfe,s3,0x00,8
0xff,s2,0x00,8
)
compression mode MatchLength - FseCompressed(State,Sym,BL,NB
0x00,s2,0xdc,2
0x01,s5,0x38,3
0x02,s3,0x108,3
0x03,s2,0xe0,2
0x04,s6,0xa0,4
0x05,s3,0x110,3
0x06,s2,0xe4,2
0x07,s9,0x00,6
0x08,s5,0x40,3
0x09,s3,0x118,3
0x0a,s2,0xe8,2
0x0b,s5,0x48,3
0x0c,s3,0x120,3
0x0d,s2,0xec,2
0x0e,s7,0xc0,5
0x0f,s4,0xf0,4
0x10,s2,0xf0,2
0x11,s2,0xf4,2
0x12,s5,0x50,3
0x13,s3,0x128,3
0x14,s2,0xf8,2
0x15,s6,0xb0,4
0x16,s4,0x100,4
0x17,s2,0xfc,2
0x18,s2,0x100,2
0x19,s5,0x58,3
0x1a,s3,0x130,3
0x1b,s2,0x104,2
0x1c,s6,0xc0,4
0x1d,s3,0x138,3
0x1e,s2,0x108,2
0x1f,s10,0x00,7
0x20,s5,0x60,3
0x21,s3,0x140,3
0x22,s2,0x10c,2
0x23,s6,0xd0,4
0x24,s3,0x148,3
0x25,s2,0x110,2
0x26,s8,0x100,6
0x27,s4,0x110,4
0x28,s2,0x114,2
0x29,s2,0x118,2
0x2a,s5,0x68,3
0x2b,s3,0x150,3
0x2c,s2,0x11c,2
0x2d,s7,0xe0,5
0x2e,s4,0x120,4
0x2f,s2,0x120,2
0x30,s2,0x124,2
0x31,s5,0x70,3
0x32,s3,0x158,3
0x33,s2,0x128,2
0x34,s6,0xe0,4
0x35,s4,0x130,4
0x36,s2,0x12c,2
0x37,s12,0x100,8
0x38,s5,0x78,3
0x39,s3,0x160,3
0x3a,s2,0x130,2
0x3b,s6,0xf0,4
0x3c,s3,0x168,3
0x3d,s2,0x134,2
0x3e,s8,0x140,6
0x3f,s5,0x80,3
0x40,s3,0x170,3
0x41,s2,0x138,2
0x42,s5,0x88,3
0x43,s3,0x178,3
0x44,s2,0x13c,2
0x45,s7,0x100,5
0x46,s4,0x140,4
0x47,s2,0x140,2
0x48,s2,0x144,2
0x49,s5,0x90,3
0x4a,s3,0x180,3
0x4b,s2,0x148,2
0x4c,s6,0x100,4
0x4d,s4,0x150,4
0x4e,s2,0x14c,2
0x4f,s2,0x150,2
0x50,s5,0x98,3
0x51,s3,0x188,3
0x52,s2,0x154,2
0x53,s6,0x110,4
0x54,s3,0x190,3
0x55,s2,0x158,2
0x56,s9,0x40,6
0x57,s5,0xa0,3
0x58,s3,0x198,3
0x59,s2,0x15c,2
0x5a,s6,0x120,4
0x5b,s3,0x1a0,3
0x5c,s2,0x160,2
0x5d,s8,0x180,6
0x5e,s4,0x160,4
0x5f,s2,0x164,2
0x60,s2,0x168,2
0x61,s5,0xa8,3
0x62,s3,0x1a8,3
0x63,s2,0x16c,2
0x64,s7,0x120,5
0x65,s4,0x170,4
0x66,s2,0x170,2
0x67,s2,0x174,2
0x68,s5,0xb0,3
0x69,s3,0x1b0,3
0x6a,s2,0x178,2
0x6b,s6,0x130,4
0x6c,s4,0x180,4
0x6d,s2,0x17c,2
0x6e,s11,0x00,7
0x6f,s5,0xb8,3
0x70,s3,0x1b8,3
0x71,s2,0x180,2
0x72,s6,0x140,4
0x73,s3,0x1c0,3
0x74,s2,0x184,2
0x75,s8,0x1c0,6
0x76,s4,0x190,4
0x77,s2,0x188,2
0x78,s2,0x18c,2
0x79,s5,0xc0,3
0x7a,s3,0x1c8,3
0x7b,s2,0x190,2
0x7c,s7,0x140,5
0x7d,s4,0x1a0,4
0x7e,s2,0x194,2
0x7f,s2,0x198,2
0x80,s5,0xc8,3
0x81,s3,0x1d0,3
0x82,s2,0x19c,2
0x83,s6,0x150,4
0x84,s4,0x1b0,4
0x85,s2,0x1a0,2
0x86,s2,0x1a4,2
0x87,s5,0xd0,3
0x88,s3,0x1d8,3
0x89,s2,0x1a8,2
0x8a,s6,0x160,4
0x8b,s3,0x1e0,3
0x8c,s2,0x1ac,2
0x8d,s9,0x80,6
0x8e,s5,0xd8,3
0x8f,s3,0x1e8,3
0x90,s2,0x1b0,2
0x91,s5,0xe0,3
0x92,s3,0x1f0,3
0x93,s2,0x1b4,2
0x94,s7,0x160,5
0x95,s4,0x1c0,4
0x96,s2,0x1b8,2
0x97,s2,0x1bc,2
0x98,s5,0xe8,3
0x99,s3,0x1f8,3
0x9a,s2,0x1c0,2
0x9b,s7,0x180,5
0x9c,s4,0x1d0,4
0x9d,s2,0x1c4,2
0x9e,s2,0x1c8,2
0x9f,s5,0xf0,3
0xa0,s3,0x00,2
0xa1,s2,0x1cc,2
0xa2,s6,0x170,4
0xa3,s3,0x04,2
0xa4,s2,0x1d0,2
0xa5,s10,0x80,7
0xa6,s5,0xf8,3
0xa7,s3,0x08,2
0xa8,s2,0x1d4,2
0xa9,s6,0x180,4
0xaa,s3,0x0c,2
0xab,s2,0x1d8,2
0xac,s8,0x00,5
0xad,s4,0x1e0,4
0xae,s2,0x1dc,2
0xaf,s2,0x1e0,2
0xb0,s5,0x100,3
0xb1,s3,0x10,2
0xb2,s2,0x1e4,2
0xb3,s7,0x1a0,5
0xb4,s4,0x1f0,4
0xb5,s2,0x1e8,2
0xb6,s2,0x1ec,2
0xb7,s5,0x108,3
0xb8,s3,0x14,2
0xb9,s2,0x1f0,2
0xba,s6,0x190,4
0xbb,s4,0x00,3
0xbc,s2,0x1f4,2
